,energy_100g,saturated_fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,fvl_percent,green_score_value
pi_1,2373.4999999999995,11.674999999999983,64.80499999999999,2.702499999999995,0.06500000000000022,0.0,0.0,22.0
pi_2,1640.8000000000004,3.0,25.16000000000005,1.2,1.2,0.0,0.0,36.0
pi_3,1248.3999999999999,1.085999999999999,4.2,0.74,5.320000000000002,0.6,0.0,54.0
pi_4,781.4000000000003,0.5,2.6,0.47420000000000034,8.0,1.9799999999999982,2.458181818399997,70.0
pi_5,429.3999999999999,0.1,0.9,0.02,12.0,4.940000000000004,34.75253174,78.0
pi_6,185.0,0.0,0.36500000000000166,0.0,21.0,8.0,94.09583788899994,85.0
