product_name,brands,categories,energy_100g,saturated_fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,fvl_percent,nutri_score_value,nutri_score_label,green_score_value,green_score_label,url
Granola L'Original,"LU, Mondelez International","Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au chocolat,Biscuits sablés,Biscuits nappés au chocolat,Sablés nappés de chocolat,Sablés au chocolat",2058,12,28,1.2,5.9,3.5,0,28,E,40,D,https://world.openfoodfacts.org/product/7622210601988
Cracotte Céréales Complètes,"lu, LU","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Tartines craquantes extrudées",1591,1,7.9,1.6,11,5.4,0,10,C,64,B,https://world.openfoodfacts.org/product/3041090063206
Kinder Bueno,Kinder,"Botanas,Snacks dulces,Galletas y pasteles,en:Biscuits and crackers,Galletas,en:Wafers,Galletas de chocolate,Obleas rellenas,en:Chocolate stuffed wafers",2393,17.3,41.2,0.1975,8.6,2,0,29,E,22,E,https://world.openfoodfacts.org/product/80052760
Pringles Sare,Pringles,"plant-based-foods-and-beverages, plant-based-foods, snacks, salty-snacks, appetizers, chips-and-fries, crisps, salty-snacks-made-from-potato, bg:чипс",2214,3,0.9,1,6.1,3.5,0,11,D,72,B,https://world.openfoodfacts.org/product/5053990101573
Cracotte,LU,"Plantaardige levensmiddelen en dranken,Plantaardige levensmiddelen,Snacks,Granen en aardappels,Knapperige broodproducten",1649,1,7.9,1.7,11,3,0,14,D,73,B,https://world.openfoodfacts.org/product/3041090063114
Biscuits goût chocolat,BN,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Filled biscuits",1900,8.84,29.8,1.1,6.63,3.87,0,25,E,35,D,https://world.openfoodfacts.org/product/3061990143365
digestives,McVitie's,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits",2021,10.1,15.1,1.3,7,3.7,0,25,E,44,D,https://world.openfoodfacts.org/product/5000168036755
Figolu,LUMondelez,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Filled biscuits,Biscuit filled with fruit paste,Biscuits et gâteaux,Biscuits fourrés,Biscuits sec fourré à la pâte de fruits,Snacks sucrés",1680,3.75,50,0.000937,4.69,3.12,26,21,E,49,C,https://world.openfoodfacts.org/product/7622201133337
Sour Cream & Onion,Pringles,"Snacks,Salty snacks,Appetizers,Chips and fries,Crisps,Salty snacks made from potato",2191,6.4,2.7,1.3,6,3.4,0.710227273,17,D,67,B,https://world.openfoodfacts.org/product/5053990155354
Biscuit lait chocolat,"Gerblé,Gerblé Vitalité,Nutrition & Santé","Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Chocolate biscuits",1919,2.8,21,0.74,8.5,5,0,14,D,74,B,https://world.openfoodfacts.org/product/3175680011534
Crunchy Avoine & Chocolat Noir x 5 x 2 barres de 21 g,"General Mills,Nature Valley","Snacks,Sweet snacks,Bars,Cereal bars,Chocolate cereal bars",1981,3.4,26.8,0.65,8.7,7,0,14,D,36,D,https://world.openfoodfacts.org/product/8410076601148
Cookie🍪 cacao pépites Sans Sucre,Gerblé,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au chocolat",1728,3.3,0,0.21,8,8.9,0,1,B,56,C,https://world.openfoodfacts.org/product/3175681105423
Biscuit soja orange,Gerblé,"Snacks,Breakfasts,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Crispy biscuits,Diet crispy biscuit,Dry biscuits,Shortbread cookies,Breakfast biscuit,Shortbread biscuit with fruits",1866,1.4,18,0.36,11,4.9,1.5,10,C,64,B,https://world.openfoodfacts.org/product/3175680011442
petit déjeuner miel et pépites de chocolat,belvita,"Snacks,Breakfasts,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Dry biscuits,Breakfast biscuit,Breakfast biscuit with cereals fortified with vitamins and chemical elements",1711,2.8,26,1.4,5.7,7.6,0,15,D,71,B,https://world.openfoodfacts.org/product/16811207
Sablés Anglais L'Original,"McVitie's,United Biscuits","Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Shortbread cookies,Plain wheat biscuits",2025,10.1,15.1,1.3,7,3.7,0,25,E,53,C,https://world.openfoodfacts.org/product/5000168198491
P'tit Nature Complet,Bjorg,"Biscuits et gâteaux,Biscuits",1750,0.8,20,0.45,7.6,7.6,0,7,C,70,B,https://world.openfoodfacts.org/product/3229820021027
Excellence Noir Corsé 78% Cacao,Lindt,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Dark chocolate bar with more than 70% cocoa",2380,29,17,0.0375,10,0,0,21,E,29,E,https://world.openfoodfacts.org/product/3046920010047
Картофельные чипсы со вкусом парики,Pringles,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Botanas,Cereales y patatas,Snacks salados,Aperitivos,en:Chips and fries,Chips fritos,Chips de patatas fritas,Chips de patatas fritas con sabores,en:Paprika crisps,Aperitivos salados elaborados con patata",2180,2.8,3.2,1.28,6.7,4.4,0,12,D,67,B,https://world.openfoodfacts.org/product/5053990161669
Pringles Original,"Kellogg's, Pringles","Snacks,Snacks salés,Amuse-gueules,Chips et frites,Chips,Chips de pommes de terre",2220,3,0.9,0.983,6.1,3.5,0,11,D,70,B,https://world.openfoodfacts.org/product/5053990167807
Bonbon à la Sève de Pin,"La Vosgienne, Mondelez","Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Bonbons de chocolat, Bonbons",1651,0,74,0,0.1,0,0,19,E,55,C,https://world.openfoodfacts.org/product/3014680009175
300G DRAGIBUS SOFT HARIBO,Haribo,"Snacks, Snacks sucrés, Confiseries, Bonbons, Bonbons gélifiés, Surgelés",1544,0.1,56,0.12,0.5,0,0,19,E,74,B,https://world.openfoodfacts.org/product/3103220048658
230G VICHY MENTHE,Vichy,"Snacks, Sweet snacks, Confectioneries, Candies, French candies, fr:Pastilles Vichy",1705,0,98.5,0,0,0,0,20,E,47,C,https://world.openfoodfacts.org/product/3664346306539
Chamallow,Haribo,"Snacks, Sweet snacks, Confectioneries, Candies, Marshmallows",1393,0.1,68,0.02,3.5,0,0.532670455,19,E,73,B,https://world.openfoodfacts.org/product/3103220046159
220G TAGADA DOYPACK HARIBO,Haribo,"Snacks,Snacks sucrés,Confiseries,Bonbons,Bonbons gélifiés,Confiserie-gélifiée,Fraises gélifiées",1520,0.1,74,0.01,2.6,0,6.71875,19,E,74,B,https://world.openfoodfacts.org/product/3103220044544
50G RICOLA CITRON MELISSE,Ricola,"Snacks,Snacks sucrés,Confiseries,Bonbons,Bonbons durs",991,0,0,0,0,0,0.15,2,B,81,A,https://world.openfoodfacts.org/product/7610700015445
Croco,Haribo,"Snacks, Sweet snacks, Confectioneries, Candies, Gummi candies, Gummy crocodiles",1465,0.1,51,0.03,5.7,0,1.654411765,18,D,74,B,https://world.openfoodfacts.org/product/3103220035214
50G RICOLA FRAMBOISE MELISSE,Ricola,"Snacks,Snacks sucrés,Confiseries,Bonbons,Bonbons durs,Bonbons sans sucre",994,0,0,0,0,0,0.725,2,B,80,A,https://world.openfoodfacts.org/product/7610700017654
"Tagada, L'originale",Haribo,"Snacks,Snacks sucrés,Confiseries,Bonbons,Bonbons gélifiés,Fraises gélifiées",1541,0.1,74,0.01,2.6,0,2.673611111,19,E,74,B,https://world.openfoodfacts.org/product/3103220033371
Mentos fruit,"Mentos,Perfetti","Lanches comida,Lanches doces,Confeitaria,Rebuçados e gomas,en:Dragées",1648,1.7,69,0.1,0,0,11.45833333,20,E,42,D,https://world.openfoodfacts.org/product/87108026
600G HAPPY BOX HARIBO,Haribo,"Snacks, Snacks sucrés, Confiseries, Bonbons, Bonbons gélifiés",1456,0.1,53,0.02,4.7,0,0.36633817,19,E,73,B,https://world.openfoodfacts.org/product/3103220033838
Lutti guimauve chocolat,Lutti,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Bonbons, Candies, Marshmallows, en:marshmallows-coated-with-chocolate",1628,6.1,61,0.1,5.2,0,0,25,E,73,B,https://world.openfoodfacts.org/product/3116740033899
Schtroumpfs,Haribo,"Snacks, Sweet snacks, Confectioneries, Candies, Gummi candies",1411,0.1,43,0.03,6.6,0,1.059344952,16,D,74,B,https://world.openfoodfacts.org/product/3103220045640
БОНБОНИ МЕРСИ,"Merci,Storck","Botanas,Snacks dulces,Cacao y sus productos,Dulces,Dulces de chocolate,Bombones,Chocolates,Golosinas,Chocolate relleno,Surtido de chocolates",2346,20,48,0.18,7.8,0,0,30,E,41,D,https://world.openfoodfacts.org/product/4014400900217
300G DRAGÖLO HARIBO,Haribo,"Snacks, Sweet snacks, Confectioneries, Candies, en:gummi-candies",1526,0.1,54,0.06,3.2,0,0.079443199,19,E,74,B,https://world.openfoodfacts.org/product/3103220022696
Starmix,HARIBO,"Snacks,Sweet snacks,Confectioneries,Candies,Gummi candies",1360,0,50,0,7.5,0,0.703125,18,D,76,A,https://world.openfoodfacts.org/product/5012035927592
250G BUBBLIZZ LUTTI,Lutti,"Snacks, Snacks sucrés, Confiseries, Bonbons, Bonbons gélifiés, Bonbons acidulés gélifiés",1418,0,66,0.295,5.2,0,0,20,E,74,B,https://world.openfoodfacts.org/product/3116740033875
Bonbons Tic Tac x110 pastilles MENTHE - 54g,"Ferrero,Mixte,TIC TAC","Snacks,Snacks sucrés,Confiseries,Bonbons",1685,0.5,94.5,0.028,0.1,0,0,20,E,42,D,https://world.openfoodfacts.org/product/8000500166697
TIC TAC Fresh Mint,tictac,"Snacks,Condiments,Snacks sucrés,Confiseries,Bonbons",1685,0.5,94.5,0.028,0.1,0,0,20,E,51,C,https://world.openfoodfacts.org/product/80052043
50G RICOLA MENTHOL,Ricola,"Snacks,Snacks sucrés,Confiseries,Bonbons,Bonbons durs,Bonbons sans sucre",983,0,0,0,0,0,0,2,B,67,B,https://world.openfoodfacts.org/product/7610700015407
Bonbons à l'eucalyptus,"AmanieNord Fresh, Lidl","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Candies",1632,0,71.5,0.001,0,0,0,19,E,42,D,https://world.openfoodfacts.org/product/40879260
Werthers Original Drops Sukkerfri 42g,"Conaxess trade norway, Storck","Snacks, Snacks sucrés, Confiseries, Bonbons, Caramels, Bonbons durs",1203,5.7,0.5,1.2,0.2,0,0,13,D,80,A,https://world.openfoodfacts.org/product/4014400907902
Natural Original Liquorice 4 Bars,Panda,"Snacks, Sweet snacks, Confectioneries, Candies, Liquorice candies, Liquorice",1392,0,4,0.56,3.8,0,0,6,C,51,C,https://world.openfoodfacts.org/product/0075172079123
Orange Menthe,Ricola,"Snacks,Snacks sucrés,Confiseries,Bonbons,Bonbons sans sucre",989,0,0,0.03,0,0,12.14958333,2,B,65,B,https://world.openfoodfacts.org/product/7610700922361
Schweizer Kräuterbonbon,Ricola,"Snacks, Sweet snacks, Confectioneries, Candies",1670,0,76,0,0,0,2.5,19,E,44,D,https://world.openfoodfacts.org/product/7610700600054
Haribo pik,Haribo,"Snacks, Sweet snacks, Confectioneries, Candies, Gummi candies, en:acid-gummy-candies",1473,0.1,50.7,0.166,6,0,0.06266276,18,D,74,B,https://world.openfoodfacts.org/product/3103220035771
200G STARMINT HARIBO,Haribo,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons,Candies,Snacks-sucres",1594,0.1,83,0.01,0.5,0,0,19,E,47,C,https://world.openfoodfacts.org/product/3103220006603
Lutti best fizz tubo 550g,Lutti,"snacks, snacks-sucrés, cacao-et-dérivés, confiseries, confiseries-chocolatées, bonbons-de-chocolat, bonbons, bonbons-gélifiés, bonbons-acidulés-gélifiés, en:bonbons-acidulés-gélifiés, en:bonbons-gélifiés, fr:confiseries, en:snacks-sucrés",1468,0.1,65.3,0.17,4.6,0,0.014085036,19,E,62,B,https://world.openfoodfacts.org/product/3116740029809
Lindor Lait,"Lindt, Lindt & Sprüngli","Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Bonbons, Candies, Milk chocolate candies",2587,34,42,0.17,5,0,0,29,E,42,D,https://world.openfoodfacts.org/product/8003340091303
38G SKITTLES SACHET,Mars norge as,"Snacks, Snacks sucrés, Confiseries, Surgelés, Bonbons, Bonbons dragéifiés",1661,2.3,74,0.02,0,0,0,21,E,32,D,https://world.openfoodfacts.org/product/5000159376655
Rotella,Haribo,"Plant-based foods and beverages, Plant-based foods, Snacks, Sweet snacks, Confectioneries, Pastas, Candies, it:Rotelle",1267,0.2,38,1.8,3.7,0,0,22,E,47,C,https://world.openfoodfacts.org/product/3103220009635
50G RICOLA CASSIS,Ricola,"Snacks, Snacks sucrés, Confiseries, Surgelés, Bonbons",989,0,0,0,0,0,0.3,2,B,55,C,https://world.openfoodfacts.org/product/7610700015483
Bonbons aux plantes,Ricola,"Snacks, Snacks sucrés, Confiseries, Bonbons",994,0,0,0.03,0,0,6.688636364,2,B,55,C,https://world.openfoodfacts.org/product/7610700009888
Mao Croqui,Haribo,"Snacks, Snacks sucrés, Confiseries, Bonbons",1710,0.625,17.5,0.0125,0.9,0,0.057258606,10,C,47,C,https://world.openfoodfacts.org/product/3103220006658
Haribo dragolo,Haribo,"Snacks, Snacks sucrés, Confiseries, Bonbons, Bonbons gélifiés",1494,0.1,52,0.06,3,0,0.094495139,19,E,73,B,https://world.openfoodfacts.org/product/3103220048665
300G POLKA HARIBO,Haribo,"Snacks,Sweet snacks,Confectioneries,Candies,Gummi candies,fr:Sucrerie bonbons",1423,0.6,49,0.67,4.5,0,0.008711448,21,E,64,B,https://world.openfoodfacts.org/product/3103220045633
Bonbons Ricola aux Plantes,Ricola,"Snacks, Snacks sucrés, Confiseries, Bonbons",1004,0,0,0,0,0,0,2,B,47,C,https://world.openfoodfacts.org/product/7610700601624
Citron Mélisse,Ricola,"Snacks,Snacks sucrés,Confiseries,Surgelés,Bonbons,Bonbons sans sucre",991,0,0,0,0,0,0.15,2,B,65,B,https://world.openfoodfacts.org/product/7610700015582
Panda Liquorice,panda,"Plant-based foods and beverages, Snacks, Dairy substitutes, Desserts, Sweet snacks, Confectioneries, Non-dairy desserts, it:Liquirizia, en:liquorice-candies",1369,0,49,0.56,3.8,0,0,20,E,58,C,https://world.openfoodfacts.org/product/0075172079246
Arlequin Original,Lutti,"snacks, sweet-snacks, cocoa-and-its-products, confectioneries, chocolate-candies, bonbons, candies, fr:confiseries, snacks-sucrés",1634,0,58,0.01,0,0,0,19,E,47,C,https://world.openfoodfacts.org/product/3116740017332
Mentos mint,Mentos,en:candies,1653,1.9,69,0.1,0,0,0,20,E,42,D,https://world.openfoodfacts.org/product/87108019
Gom's,"Gom's, La pie qui chante","Snacks, Snacks sucrés, Confiseries, Bonbons, Bonbons gélifiés",1424,0,43,0.19,7.8,0,0,16,D,74,B,https://world.openfoodfacts.org/product/3664346303149
Goldbären,Haribo,"Grickalice,Slatki zalogaji,Konditorski proizvodi,Bomboni,Voćni gumeni bomboni,Kiseli gumeni bomboni,Gumeni medvjedići",1459,0.1,46,0.07,6.9,0,6.20721664,17,D,69,B,https://world.openfoodfacts.org/product/9002975301558
Carré Frais,Elle & Vire,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Fromages,Fromages à la crème,en:fromages-à-la-crème,en:produits-fermentés,en:produits-laitiers-fermentés",356,0.2,2.9,1.2775,16,0,0,1,B,55,C,https://world.openfoodfacts.org/product/3480341000674
Carré frais 0 pourcent ail et fines herbes,Elle & Vire,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Produits à tartiner, Fromages, Produits à tartiner salés, Fromages pasteurisés, Fromages à tartiner, Fromages à la crème, en:Uncured-soft-cheese-spreadable-around-30-40-fat-flavoured",352,0,2.8,0.0033,16,0,0.00495,-5,A,50,C,https://world.openfoodfacts.org/product/3480341000704
Yorkshire Cottage Cheese Natural,Longley Farm,"Dairies, Fermented foods, Desserts, Fermented milk products, Cheeses, Dairy desserts, Fermented dairy desserts, Plain fermented dairy desserts, Fresh cheeses, Cottage cheeses, Plain cottage cheeses",435,4.3,2.1,0.787,10.3,0,0,4,C,42,D,https://world.openfoodfacts.org/product/5010578008020
faisselle,RIANS,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Fromages, Desserts lactés, Desserts lactés fermentés, Fromages à pâte fraîche, Fromages à la crème, Faisselles",318,2.9,4.5,0.1,4.3,0,0,2,B,50,C,https://world.openfoodfacts.org/product/3184670001080
Bresaola delle alpi,"Negroni, Veronesi","Prodotti a base di carne, en:Beef and its products, Carni, Manzo, Preparazioni a base di carne, Preparazioni a base di manzo, Carni essiccate, Prodotti a base di carne italiani, Bresaola",661,0.5,0.5,3.9,35,0,1.95,20,E,18,E,https://world.openfoodfacts.org/product/8028257014993
Egeturk Kipsalami,EGETÜRK,"Viandes et dérivés, Viande de bœuf et dérivés, Viandes, Bœuf, Poulet et dérivés, Volailles, Dinde et dérivés, Poulets, Dindes",1044,9.7,1,2.2,12.9,0,0,22,E,22,E,https://world.openfoodfacts.org/product/4017979013005
Bresaola della valtellina IGP,bonneterre,"viandes-et-dérivés, viande-de-bœuf-et-dérivés, viandes, charcuteries, bœuf, préparations-de-viande, préparations-de-viande-bovine, viandes-séchées, bresaola, it:bresaola-della-valtellina",645,0.8,0.1,4.375,34,0,0,21,E,18,E,https://world.openfoodfacts.org/product/3396410041311
4 brochettes de bœuf + 4 brochettes de porc,Jean Rozé,"Viandes et dérivés, Viande de bœuf et dérivés, Viandes, Bœuf, Porc et dérivés, Préparations de viande, Porc, Brochettes, Brochettes de viande, Brochettes de bœuf, Brochettes de porc",464,1.8,0.5,0.1,0.5,0,0,2,B,21,E,https://world.openfoodfacts.org/product/0210353051363
Premium Fruit & Nut Muesli,Lidl,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Fruits et produits dérivés,Céréales pour petit-déjeuner,Fruits,Céréales aux fruits,Mueslis,Mueslis aux fruits",1648,4.6,24.6,0.0375,8.8,6.4,44.5,10,C,62,B,https://world.openfoodfacts.org/product/20060831
Bio Knusper Müsli Früchte,"Crownfield,Lidl","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Fruits et produits dérivés,Céréales pour petit-déjeuner,Fruits,Céréales aux fruits,Mueslis,Fruits rouges,Mueslis croustillants,Mueslis aux fruits,Mueslis croustillants aux fruits",1845,4.1,15.8,0.1975,9.7,8.3,5.258333333,8,C,78,A,https://world.openfoodfacts.org/product/4056489296805
Compote Pomme Nature,Andros,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Desserts, Fruits et produits dérivés, Fruits, Pommes, Compotes, Compotes de pomme, Compotes pommes nature",230,0,12,0,0.3,1.9,100,-2,A,87,A,https://world.openfoodfacts.org/product/3608580789758
Datteln,"Alesto, LIDL","Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frucht- und gemüsebasierte Lebensmittel, Getrocknete Produkte, Fruchtbasierte Lebensmittel, Getrocknete Produkte auf pflanzlicher Basis, Früchte, Dörrobst, Datteln, Deglet Nour Datteln, Entkernte Datteln",1243,0.1,60,0.03,2.1,7.4,66.66666667,12,D,54,C,https://world.openfoodfacts.org/product/20534479
Ananas. Stücke,"Freshona, Kirkland, Lidl Freshona, Freshona - Lidl","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Canned plant-based foods,Fruits based foods,Fruits,Canned fruits,Tropical fruits,Pineapple,Canned fruits in juice,Canned pineapples,Pineapple in juice",238,0,13,0.01,0.5,1,100,-2,A,85,A,https://world.openfoodfacts.org/product/4056489100553
Emotion,"Carrefour, Carrefour Sensation Carrefour","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Petit-déjeuners, Produits à tartiner, Fruits et produits dérivés, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Fruits, Confitures, Fruits rouges, Confitures de fruits rouges, Fraises, Confitures de fraises",708,0,40,0,0,1.4,75,11,D,71,B,https://world.openfoodfacts.org/product/3560071270315
Pomme,Carrefour,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Desserts,Aliments à base de fruits et de légumes,Fruits et produits dérivés,Fruits,Pommes,Compotes,Compotes de pomme,Compotes pommes nature,Compote de fruits allégée en sucres",225,0,11,0.04,0,1.7,99.9,-2,A,81,A,https://world.openfoodfacts.org/product/3245414620131
Sift Figs,"Alesto, LIDL","Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Dried products, Fruits based foods, Dried plant-based foods, Fruits, Dried fruits, Dried figs, Figs",1042,0,48.6,0.2,3.3,6.9,66.66666667,11,D,79,A,https://world.openfoodfacts.org/product/20534462
Fraise,Carrefour,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Petit-déjeuners, Produits à tartiner, Fruits et produits dérivés, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Fruits, Confitures, Fruits rouges, Confitures de fruits rouges, Fraises, Confitures de fraises, Surgelés",694,0,39,0.03,0,0.6,63.875,11,D,73,B,https://world.openfoodfacts.org/product/3560071501570
Canneberges sucrées séchées,Alesto,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Snacks, Fruits et produits dérivés, Produits déshydratés, Fruits, Aliments à base de plantes séchées, Fruits rouges, Fruits secs, Canneberges, Canneberges séchées",1395,0.1,71.3,0.02,0.4,5.5,66,14,D,29,E,https://world.openfoodfacts.org/product/4056489167037
Olives vertes dénoyautées,Tramier,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Pickles, Fruits, Produits de l'olivier, Pickles d'origine végétale, Olives, Olives vertes, Olives dénoyautées, Olives vertes dénoyautées",624,2.3,0,3.5,1.2,0,71.5,18,D,86,A,https://world.openfoodfacts.org/product/3017233001008
Dattes Deglet Nour,"Lidl, Alesto","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Fruits,Dried plant-based foods,Dried fruits,Dates,Deglet Noor dates",1200,0.1,64.7,0.1,1.8,7.3,100,9,C,62,B,https://world.openfoodfacts.org/product/4056489362043
Tropical Fruits Granola,Tesco,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Fruits based foods, Breakfast cereals, Fruits, Cereals with fruits, Mueslis, Tropical fruits, Mueslis with fruits",1787,3,17.1,0.03,9.7,6.9,24.55,8,C,52,C,https://world.openfoodfacts.org/product/5051399536071
Pommes Myrtille SSA,Charles & Alice,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Desserts, Fruits et produits dérivés, Fruits, Pommes, Compotes, Compotes de pomme, Compotes pommes myrtille",230,0.1,11,0.01,0.5,1,98.8,-2,A,88,A,https://world.openfoodfacts.org/product/3297760097990
TK - Beerenmischung,Freshona,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Frutas y verduras y sus productos,Congelados,Frutas y sus productos,Alimentos de origen vegetal congelados,Frutas,Frutas del bosque,Frutas congeladas,Mezclas de frutas congeladas,Frutas del bosque congeladas,Mezclas de frutas del bosque congeladas",255,0.1,6.7,0.01,0.9,1.3,100,-4,A,59,C,https://world.openfoodfacts.org/product/4056489655664
Avocados,Lidl,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Tropical fruits, Avocados",795,4.1,0.5,0.05,1.9,3.4,100,0,A,67,B,https://world.openfoodfacts.org/product/20229030
Marmelade - Fruchtaufstrich Erdbeere,Maribel,"Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frucht- und gemüsebasierte Lebensmittel, Frühstücke, Brotaufstriche, Fruchtbasierte Lebensmittel, Pflanzliche Brotaufstriche, Süße Brotaufstriche, Konfitüren und Marmeladen, Früchte, Konfitüren, Beeren, Marmeladen aus roten Früchten, Zitronenmarmeladen, Marmeladen, Erdbeeren, Erdbeere Konfitüren",758,0.1,42,0.03,0.6,0,79.16666667,12,D,73,B,https://world.openfoodfacts.org/product/20270261
Bananes,"Banane de Guadeloupe & Martinique, Fruidor","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Fruits, Fruits tropicaux, Bananes",397,0.1,15,0,1.2,3,100,0,A,84,A,https://world.openfoodfacts.org/product/3347761000663
2 Avocats mûrs à point,"Marque Repère,Notre Jardin","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Fruits et produits dérivés,Fruits,Fruits tropicaux,Avocats",843,4.51,0.4,0.015,1.56,3.6,100,0,A,66,B,https://world.openfoodfacts.org/product/3564700448687
Pomme vanille,Carrefour,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Desserts, Fruits et produits dérivés, Fruits, Pommes, Compotes, Compotes de pomme, Compotes pommes vanille",218,0.1,11,0.04,0.3,1.7,99.3,-2,A,89,A,https://world.openfoodfacts.org/product/3245414620148
Tesco Green Seedless Grapes (Crisp & Juicy),Tesco,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Grapes, Green grapes, en:green-seedless-grapes",307,0.01,15.5,0.03,0.75,1,100,-1,A,86,A,https://world.openfoodfacts.org/product/10066096
Dattes Deglet Nour de Tunisie,"Color Foods, La Favorite","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Produits déshydratés, Fruits, Aliments à base de plantes séchées, Fruits secs, Dattes, Dattes Deglet Nour",1213,0.2,57,0.04,2,8,75,11,D,53,C,https://world.openfoodfacts.org/product/3068233500404
Cerise Noire,Lucien Georgelin,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Petit-déjeuners, Produits à tartiner, Fruits et produits dérivés, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Fruits, Confitures, Cerises, Confitures de cerises",761,0.09,43,0.08,0.7,0,69,12,D,31,D,https://world.openfoodfacts.org/product/3330720251404
Dattes,LA FAVORITE,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Fruits et produits dérivés,Produits déshydratés,Fruits,Aliments à base de plantes séchées,Fruits secs,Dattes,Dattes Deglet Nour",1288,0,68,0.01,2.2,7.3,0,14,D,62,B,https://world.openfoodfacts.org/product/3433791013602
Datteln entsteint / Dates pitted,Seeberger,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Dried products, Fruits based foods, Dried plant-based foods, Fruits, Dried fruits, Dates, Pitted dates, en:deglet-noor-dates",1225,0.1,65,0.09,1.9,0,0,18,D,54,C,https://world.openfoodfacts.org/product/4008258252017
Dattes séchées dénoyautées,Jama Fruits,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Fruits et produits dérivés,Produits déshydratés,Fruits,Aliments à base de plantes séchées,Fruits secs,Dattes,Dattes Deglet Nour,fromages",1238,0.1,48,0.01,2.5,0,99,10,C,49,C,https://world.openfoodfacts.org/product/8718734820598
