product_name,brands,categories,energy_100g,saturated_fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,fvl_percent,nutri_score_value,nutri_score_label,green_score_value,green_score_label,url
Soupe à la chinoise,Liebig,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Soupes de légumes",88,0.1,0.5,0.75,0.5,0.5,17.4,3,C,89,A,https://world.openfoodfacts.org/product/3036811358112
Mian Tiao saveur boeuf - 85 g - Tien Shan,Tien Shan,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Plats préparés, Produits déshydratés, Pâtes alimentaires, Produits lyophilisés à reconstituer, Nouilles, Soupes, Plats préparés déshydratés, Nouilles instantanées, Soupes déshydratées, Nouilles-asiatiques, Soupes-de-nouilles",348,1.8,0.9,0.8,2,0.6,0.3,5,C,67,B,https://world.openfoodfacts.org/product/3229820783031
Gazpacho salmorejo,"Alvalle, Pepsico","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Réfrigérés, Soupes de légumes, Soupes froides, Plats préparés réfrigérés, Gaspacho, Soupes réfrigérées, Soupes de légumes réfrigérées, Salmorejo",311,0.7,2.8,0.63,1.1,1.1,75.7325,1,B,83,A,https://world.openfoodfacts.org/product/5410188032161
Knorr Soupe Liquide Mouliné de Légumes Variés 1L,Knorr,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Meals, Soups, Cream soups, Reheatable soups, Vegetable soups, Cream of vegetable soups",108,0.2,1.3,0.67,0.8,1,0,3,C,82,A,https://world.openfoodfacts.org/product/8714100769362
Knorr Soupe Liquide Potiron Pointe de Muscade 450ml,Knorr,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Conserves, Plats préparés, Soupes, Veloutés, Soupes à réchauffer, Soupes de légumes, Plats préparés en conserve, Veloutés de légumes, Soupes en conserve, Veloutés de potiron",170,1.2,2.6,0.66,0.6,1,45.078125,3,C,89,A,https://world.openfoodfacts.org/product/8711200350339
Spiced Lentil & Tomato Soup,M&S,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Meals, Soups, Vegetable soups, Dahl",180,0.1,2.2,0.4225,2.1,1.1,33.25042725,2,B,78,A,https://world.openfoodfacts.org/product/00851985
Velouté de Legumes du Soleil,Liebig,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Veloutés, Soupes de légumes, Veloutés de légumes, Veloutés de légumes du soleil",151,0.3,2.2,0.64,0.8,1.2,76.09863281,1,B,83,A,https://world.openfoodfacts.org/product/3036811460426
Légumes  et vermicelles,Liebig,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Surgelés, Plats préparés, en:Bread coverings, Aides culinaires, Soupes, Veloutés, Décorations alimentaires, Aides à la pâtisserie, Soupes de légumes, Veloutés de légumes, Vermicelles, Soupes-aux-legumes-et-vermicelles",146,0.2,1.2,0.68,1.1,1.1,37.5,3,C,83,A,https://world.openfoodfacts.org/product/3036811367749
Velouté lentilles corail,Picard,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Frozen foods,Meals,Soups,Combination Meals,Cream soups,Vegetable soups,Cream of vegetable soups,Frozen ready-made meals,Frozen soups,Frozen vegetable soups",349,2.1,0.8,0.5,4.9,5.7,37.1,0,A,83,A,https://world.openfoodfacts.org/product/3270160687114
Creamy Tomato & Basil soup,Cully&sully,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Soupes de légumes",339,3.9,3.9,0.59,1,1,34.80320435,7,C,85,A,https://world.openfoodfacts.org/product/5391511420421
Potiron et Kiri,Liebig,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Soupes de légumes",163,0.9,1.4,0.65,0.8,1.4,36.85,3,C,87,A,https://world.openfoodfacts.org/product/3036811366445
Gazpacho brique 1l,Saint eloi,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Soupes de légumes, Soupes froides, Gaspacho",216,0.5,3.5,0.53,0.8,1.2,95.265,-2,A,84,A,https://world.openfoodfacts.org/product/3250392158491
minestrone with croutons,Batchelors,"Meals, Soups, Minestrone soups, en:vegetable-soups",146,0.3,1.6,0.5,0.6,0.5,28.25,2,B,73,B,https://world.openfoodfacts.org/product/5000175409122
Pesto alla Genovese,Barilla,"Condiments,Sauces,Sauces pour pâtes,Sauces Pesto,en:Cooking Sauces,Pestos au basilic",2030,5.3,5,3.2,4.7,3,30.04882813,27,E,49,C,https://world.openfoodfacts.org/product/8076809513753
Tomato Ketchup,Heinz,"Condiments,Sauces,Tomato sauces,Ketchup,Tomato Ketchup",435,0.1,22.8,1.8,1.2,0,61.8,13,D,80,A,https://world.openfoodfacts.org/product/87157215
Real Mayonnaise,Hellmann's,"Condiments,Sauces,Sauces salades,Mayonnaises,en:Groceries",3033,6.2,1.3,1.18,1.1,0,0.096875,20,E,47,C,https://world.openfoodfacts.org/product/8722700479475
Pesto Rosso,Barilla,Red pestos,1360,3.4,7.8,2.8,3.8,2.3,52,21,E,46,C,https://world.openfoodfacts.org/product/8076809523547
Maille Moutarde Fine de Dijon L'Originale Bocal 360g,Maille,"Condiments, Sauces, Moutardes, Moutardes de Dijon",600,0.7,2,4.9,7.6,3.8,0,20,E,66,B,https://world.openfoodfacts.org/product/8720182556738
Amora Moutarde Forte Bocal 430g,Amora,Moutardes de Dijon,605,0.7,2,4.9,7.7,3.8,0,20,E,66,B,https://world.openfoodfacts.org/product/8720182460721
HP Sauce Original imp,HP Foods,"Condiments,Sauces,Sauces barbecue,Sauces brunes",500,0.667,23.3,8,0.667,0,54.56730769,26,E,76,A,https://world.openfoodfacts.org/product/5000111046244
Majoneesi,Hellmann's,"Krydderier,Saucer,en:Salad dressings,en:Mayonnaises",3012,3,0.7,0.59,1.1,0,0.066071429,12,D,50,C,https://world.openfoodfacts.org/product/5000184321064
